Place,Population
Phoenix,162678
Mesa,496401
Chandler,253458
Scottsdale,249950
Glendale,246709
Gilbert,242354
Tempe,18538
Peoria,168181
Surprise,13485
Avondale,8425
Goodyear,79858
Buckeye,68453
Casa Grande,55477
Maricopa,487
Apache Junction,40538
Queen Creek,39184
El Mirage,35216
Florence,2674
Fountain Hills,24583
Eloy,19168
Paradise Valley,14293
Coolidge,12698
Wickenburg,7409
Tolleson,7205
Youngtown,6760
Guadalupe,6525
Litchfield Park,69
Cave Creek,5622
Carefree,3783
Superior,368
Kearny,295
Gila Bend,269
Mammoth,1611
