Place,Population
Eagar,4885
St. Johns,3480
Springerville,1961
Benson,5105
Bisbee,5575
Douglas,17378
Huachuca City,1853
Sierra Vista,43888
Tombstone,1380
Willcox,3757
Flagstaff,65870
Fredonia,1314
Page,7247
Sedona (part),2842
Williams,3023
Globe,7532
Hayden,662
Miami,1837
Payson,15301
Star Valley*,2310
Winkelman (part),353
Pima,2387
Safford,9566
Thatcher,4865
Clifton,3311
Duncan,696
Parker,3083
Quartzsite,3677
Apache Junction (part),294
Avondale,76238
Buckeye,50876
Carefree,3363
Cave Creek,5015
Chandler,236123
El Mirage,31797
Fountain Hills,22489
Gila Bend,1922
Gilbert,208453
Glendale,226721
Goodyear,65275
Guadalupe,5523
Litchfield Park,5476
Mesa,439041
Paradise Valley,12820
Peoria (part),154058
Phoenix,1445632
Queen Creek (part),25912
Scottsdale,217385
Surprise,117517
Tempe,161719
Tolleson,6545
Wickenburg,6363
Youngtown,6156
Bullhead City,39540
Colorado City,4821
Kingman,28068
Lake Havasu City,52527
Holbrook,5053
Pinetop-Lakeside,4282
Show Low,10660
Snowflake,5590
Taylor,4112
Winslow,9655
Marana,34961
Oro Valley,41011
Sahuarita,25259
South Tucson,5652
Tucson,520116
Apache Junction (part),35546
Casa Grande,48571
Coolidge,11825
Eloy,16631
Florence,25536
Kearny,1950
Mammoth,1426
Maricopa*,43482
Queen Creek (part),449
Superior,2837
Winkelman (part),0
Nogales,20837
Patagonia,913
Camp Verde,10873
Chino Valley,10817
Clarkdale,4097
Cottonwood,11265
Dewey-Humboldt*,3894
Jerome,444
Peoria (part),7
Prescott,39843
Prescott Valley,38822
Sedona (part),7189
San Luis,25505
Somerton,14287
Wellton,2882
Yuma,93064
